root,blocks_audited,reached_state_one_endpoint,state_one_endpoint_block,queue_at_state_one_endpoint,maximum_queue,first_return_to_zero_after_positive,longest_positive_excursion,final_queue,max_queue_block,max_queue_block_length,max_queue_block_claims,max_queue_block_capacity,max_queue_block_drift,max_queue_endpoint_height,max_queue_claim_depth_histogram
9703,22,True,21,0,4,9,3,0,11,3,2,1,1,2,d1:1;d3:1
9705,31,True,30,0,6,13,12,0,6,3,2,1,1,2,d1:1;d3:1
9707,26,True,25,0,8,9,7,0,4,4,2,1,1,2,d1:1;d3:1
9709,24,True,23,0,3,19,9,0,15,6,3,2,1,3,d2:1;d4:1;d5:1
9711,12,True,11,0,2,2,2,0,1,3,2,1,1,2,d1:1;d3:1
9713,11,True,10,0,0,-1,0,0,-1,0,0,0,0,0,none
9715,28,True,27,0,5,10,13,0,19,6,3,2,1,3,d2:1;d4:1;d5:1
9717,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
9719,21,True,20,0,3,3,9,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
9721,28,True,27,0,5,3,13,0,19,6,3,2,1,3,d2:1;d4:1;d5:1
9723,21,True,20,0,1,15,1,0,14,2,2,1,1,2,d1:1;d2:1
9725,25,True,24,0,5,7,13,0,16,6,3,2,1,3,d2:1;d4:1;d5:1
9727,15,True,14,0,4,6,6,0,2,4,3,1,2,2,d1:1;d2:1;d4:1
9729,29,True,28,0,5,5,13,0,20,6,3,2,1,3,d2:1;d4:1;d5:1
9731,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
9733,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
9735,10,True,9,0,1,1,1,0,0,3,2,1,1,2,d1:1;d2:1
9737,27,True,26,0,5,2,13,0,18,6,3,2,1,3,d2:1;d4:1;d5:1
9739,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
9741,25,True,24,0,5,21,13,0,16,6,3,2,1,3,d2:1;d4:1;d5:1
9743,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
9745,25,True,24,0,5,21,13,0,16,6,3,2,1,3,d2:1;d4:1;d5:1
9747,21,True,20,0,3,16,9,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
