n,steps,r_start,depth_len,selected_depths,selected_count,selected_depths_are_prefix,selected_depths_are_consecutive,frontier_depth,max_selected_depth,missing_selected_depths,min_selected_margin,max_unselected_margin,margin_profile
8591,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-2;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8593,128,2,10,,0,True,True,2,0,,0,0,2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8595,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8597,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8599,128,2,10,2;3;4;5,4,True,True,6,5,,1,0,2:2;3:2;4:2;5:1;6:0;7:-1;8:0;9:0;10:0;11:0
8601,128,2,10,2;3;4;5,4,True,True,6,5,,1,0,2:2;3:3;4:2;5:1;6:0;7:-1;8:0;9:0;10:0;11:0
8603,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:-2;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8605,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-1;4:-3;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8607,128,2,10,2,1,True,True,3,2,,2,0,2:2;3:-1;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8609,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:-2;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8611,128,2,10,2;3;4;5;6,5,True,True,7,6,,1,0,2:2;3:3;4:3;5:2;6:1;7:0;8:-1;9:0;10:0;11:0
8613,128,2,10,2;3;4;5;6,5,True,True,7,6,,1,0,2:6;3:3;4:2;5:2;6:1;7:0;8:-1;9:0;10:0;11:0
8615,128,2,10,,0,True,True,2,0,,0,0,2:-4;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8617,128,2,10,2,1,True,True,3,2,,6,0,2:6;3:-2;4:-1;5:0;6:-2;7:0;8:0;9:0;10:0;11:0
8619,128,2,10,2;5,2,False,False,6,5,3;4,1,0,2:1;3:0;4:-1;5:1;6:0;7:-1;8:0;9:0;10:0;11:0
8621,128,2,10,2;3;4;5;6;7;8;9,8,True,True,10,9,,1,0,2:8;3:11;4:9;5:6;6:3;7:2;8:2;9:1;10:0;11:-1
8623,128,2,10,2;3;4;5;6;7,6,True,True,8,7,,1,0,2:7;3:4;4:3;5:3;6:2;7:1;8:0;9:-1;10:0;11:0
8625,128,2,10,,0,True,True,2,0,,0,0,2:0;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8627,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8629,128,2,10,2,1,True,True,3,2,,2,0,2:2;3:0;4:0;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
8631,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:-2;4:-1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
8633,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8635,128,2,10,2,1,True,True,3,2,,1,0,2:1;3:-3;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8637,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:-3;4:-1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
8639,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-1;4:0;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
8641,128,2,10,2,1,True,True,3,2,,6,0,2:6;3:-2;4:-1;5:-2;6:-1;7:0;8:0;9:0;10:0;11:0
8643,128,2,10,2;4,2,False,False,5,4,3,1,0,2:7;3:0;4:1;5:0;6:-1;7:-1;8:0;9:0;10:0;11:0
8645,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8647,128,2,10,,0,True,True,2,0,,0,0,2:0;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8649,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8651,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:-1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8653,128,2,10,2,1,True,True,3,2,,5,0,2:5;3:0;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8655,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:-3;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8657,128,2,10,2,1,True,True,3,2,,4,0,2:4;3:0;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8659,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8661,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8663,128,2,10,2,1,True,True,3,2,,2,0,2:2;3:-3;4:-1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
8665,128,2,10,2,1,True,True,3,2,,4,0,2:4;3:-1;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8667,128,2,10,2,1,True,True,3,2,,1,0,2:1;3:-2;4:-1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
8669,128,2,10,2,1,True,True,3,2,,4,0,2:4;3:-1;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8671,128,2,10,3,1,False,True,4,3,2,1,0,2:0;3:1;4:-1;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
8673,128,2,10,2,1,True,True,3,2,,6,0,2:6;3:0;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8675,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8677,128,2,10,,0,True,True,2,0,,0,0,2:-4;3:-2;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8679,128,2,10,2,1,True,True,3,2,,7,0,2:7;3:-1;4:0;5:-1;6:-2;7:0;8:0;9:0;10:0;11:0
8681,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-2;4:-2;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8683,128,2,10,3,1,False,True,4,3,2,2,0,2:-1;3:2;4:-1;5:-2;6:0;7:0;8:0;9:0;10:0;11:0
8685,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8687,128,2,10,,0,True,True,2,0,,0,0,2:0;3:-2;4:-2;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
8689,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8691,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-1;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
8693,128,2,10,2,1,True,True,3,2,,6,0,2:6;3:0;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
8695,128,2,10,2;3;4;5,4,True,True,6,5,,3,0,2:13;3:7;4:6;5:3;6:-1;7:-1;8:-1;9:0;10:0;11:0
