root,blocks_audited,reached_state_one_endpoint,maximum_queue,terminal_block,witness_start_block,witness_block_count,witness_length,witness_claim_holes,witness_terminal_valuation,witness_absorption_deficit
10877,14,True,2,1,1,1,4,1,1,2
10879,21,True,3,0,0,1,7,3,1,3
10881,31,True,8,9,3,7,27,12,7,8
10883,11,True,2,2,2,1,5,2,1,2
10885,15,True,1,11,11,1,3,1,1,1
10887,19,True,3,10,5,6,19,8,8,3
10889,28,True,5,19,11,9,27,11,11,5
10891,15,True,1,11,11,1,3,1,1,1
10893,10,True,0,-1,-1,0,0,0,0,0
10895,19,True,3,2,1,2,8,3,2,3
10897,27,True,4,18,10,9,26,11,11,4
10899,26,True,4,17,9,9,26,11,11,4
10901,12,True,5,1,1,1,9,3,1,5
10903,9,True,0,-1,-1,0,0,0,0,0
10905,17,True,1,4,4,1,2,0,1,1
10907,27,True,4,18,10,9,26,11,11,4
10909,21,True,4,10,9,2,10,4,2,4
10911,32,True,4,23,15,9,26,11,11,4
10913,22,True,4,11,10,2,10,4,2,4
10915,11,True,2,1,1,1,9,4,3,2
10917,29,True,7,3,1,3,18,7,4,7
10919,30,True,5,5,0,6,19,8,6,5
10921,25,True,8,3,1,3,18,7,3,8
10923,14,True,0,-1,-1,0,0,0,0,0
10925,23,True,3,14,9,6,19,8,8,3
10927,12,True,1,0,0,1,4,2,1,1
10929,28,True,5,19,11,9,27,11,11,5
10931,27,True,5,18,10,9,27,11,11,5
10933,10,True,0,-1,-1,0,0,0,0,0
10935,20,True,3,11,6,6,19,8,8,3
10937,27,True,5,18,10,9,27,11,11,5
10939,20,True,1,13,13,1,2,0,1,1
10941,26,True,5,17,9,9,27,11,11,5
10943,16,True,4,3,0,4,13,5,4,4
10945,10,True,0,-1,-1,0,0,0,0,0
10947,26,True,5,17,9,9,27,11,11,5
10949,9,True,0,-1,-1,0,0,0,0,0
10951,26,True,5,17,9,9,27,11,11,5
10953,8,True,0,-1,-1,0,0,0,0,0
10955,26,True,5,17,9,9,27,11,11,5
10957,9,True,0,-1,-1,0,0,0,0,0
10959,32,True,3,23,18,6,19,8,8,3
10961,9,True,0,-1,-1,0,0,0,0,0
10963,7,True,0,-1,-1,0,0,0,0,0
10965,23,True,5,14,6,9,27,11,11,5
10967,19,True,3,10,5,6,19,8,8,3
10969,8,True,0,-1,-1,0,0,0,0,0
10971,44,True,4,35,27,9,26,11,11,4
10973,21,True,2,12,10,3,11,5,4,2
10975,10,True,1,0,0,1,5,2,2,1
10977,25,True,2,2,2,1,5,2,1,2
10979,22,True,5,13,5,9,27,11,11,5
10981,8,True,0,-1,-1,0,0,0,0,0
10983,19,True,3,2,0,3,10,4,3,3
10985,26,True,5,17,9,9,27,11,11,5
10987,18,True,2,6,6,1,5,2,1,2
10989,13,True,1,5,5,1,4,2,1,1
10991,19,True,3,1,0,2,8,3,2,3
10993,23,True,5,14,6,9,27,11,11,5
10995,21,True,2,2,2,1,5,2,1,2
10997,8,True,0,-1,-1,0,0,0,0,0
10999,13,True,1,9,9,1,3,1,1,1
11001,13,True,1,9,9,1,3,1,1,1
11003,13,True,1,2,2,1,3,1,1,1
11005,30,True,4,19,19,1,8,3,1,4
11007,12,True,4,0,0,1,8,3,1,4
11009,32,True,6,6,4,3,15,6,3,6
11011,31,True,5,5,4,2,12,5,2,5
11013,23,True,5,14,6,9,27,11,11,5
11015,12,True,1,0,0,1,3,1,1,1
11017,27,True,4,18,10,9,26,11,11,4
11019,27,True,2,3,3,1,5,2,1,2
11021,28,True,4,19,11,9,26,11,11,4
11023,20,True,5,11,3,9,27,11,11,5
11025,29,True,4,20,12,9,26,11,11,4
11027,20,True,1,3,3,1,2,0,1,1
11029,22,True,4,13,5,9,26,11,11,4
11031,26,True,4,17,9,9,26,11,11,4
11033,20,True,1,2,2,1,4,2,1,1
11035,17,True,3,1,1,1,7,3,1,3
11037,27,True,4,18,10,9,26,11,11,4
11039,25,True,3,3,2,2,8,3,2,3
11041,27,True,4,18,10,9,26,11,11,4
11043,22,True,5,13,5,9,27,11,11,5
11045,21,True,5,12,4,9,27,11,11,5
11047,14,True,1,0,0,1,3,1,1,1
11049,13,True,1,2,2,1,2,0,1,1
11051,19,True,2,10,8,3,11,5,4,2
11053,9,True,0,-1,-1,0,0,0,0,0
11055,19,True,3,3,3,1,6,2,1,3
11057,9,True,0,-1,-1,0,0,0,0,0
11059,9,True,0,-1,-1,0,0,0,0,0
11061,22,True,4,13,5,9,26,11,11,4
11063,8,True,0,-1,-1,0,0,0,0,0
11065,29,True,4,20,12,9,26,11,11,4
11067,7,True,0,-1,-1,0,0,0,0,0
11069,16,True,4,5,4,2,10,4,2,4
11071,21,True,4,12,12,1,7,2,1,4
11073,22,True,4,13,5,9,26,11,11,4
11075,15,True,1,8,8,1,2,0,1,1
11077,15,True,1,8,8,1,2,0,1,1
11079,8,True,1,0,0,1,3,1,1,1
11081,14,True,1,7,7,1,2,0,1,1
11083,15,True,1,8,8,1,2,0,1,1
11085,14,True,1,7,7,1,2,0,1,1
11087,33,True,6,16,7,10,32,13,13,6
11089,12,True,1,2,2,1,4,2,1,1
11091,10,True,0,-1,-1,0,0,0,0,0
11093,8,True,1,4,4,1,3,1,1,1
11095,10,True,0,-1,-1,0,0,0,0,0
11097,14,True,1,7,7,1,2,0,1,1
11099,18,True,1,1,1,1,3,1,1,1
11101,14,True,1,7,7,1,2,0,1,1
11103,12,True,1,5,5,1,2,0,1,1
11105,29,True,4,7,7,1,8,3,1,4
11107,21,True,4,12,4,9,26,11,11,4
11109,21,True,4,12,4,9,26,11,11,4
11111,7,True,2,1,0,2,9,4,3,2
11113,20,True,2,11,9,3,12,5,5,2
11115,27,True,3,18,13,6,19,8,8,3
11117,27,True,3,18,13,6,19,8,8,3
11119,26,True,3,17,12,6,19,8,8,3
11121,21,True,5,12,4,9,27,11,11,5
11123,21,True,4,12,4,9,26,11,11,4
11125,21,True,5,12,4,9,27,11,11,5
11127,22,True,2,6,5,2,6,2,2,2
11129,13,True,1,2,2,1,4,2,1,1
11131,13,True,1,3,3,1,3,1,1,1
11133,20,True,2,4,3,2,7,2,3,2
11135,39,True,4,30,22,9,26,11,11,4
11137,16,True,1,4,4,1,3,1,1,1
11139,20,True,5,11,3,9,27,11,11,5
11141,14,True,2,2,2,1,5,2,1,2
11143,20,True,5,11,3,9,27,11,11,5
11145,27,True,5,4,3,2,14,5,4,5
11147,13,True,1,6,6,1,2,0,1,1
11149,8,True,1,4,4,1,3,1,1,1
11151,14,True,1,7,7,1,2,0,1,1
11153,10,True,0,-1,-1,0,0,0,0,0
11155,8,True,0,-1,-1,0,0,0,0,0
11157,22,True,4,13,5,9,26,11,11,4
11159,8,True,0,-1,-1,0,0,0,0,0
11161,9,True,0,-1,-1,0,0,0,0,0
11163,20,True,1,3,3,1,4,2,1,1
11165,12,True,1,5,5,1,2,0,1,1
11167,12,True,2,0,0,1,5,2,1,2
11169,31,True,3,22,17,6,19,8,8,3
11171,21,True,4,12,4,9,26,11,11,4
11173,21,True,1,1,1,1,4,2,1,1
11175,21,True,3,5,4,2,8,3,2,3
11177,27,True,3,18,13,6,19,8,8,3
11179,8,True,0,-1,-1,0,0,0,0,0
11181,15,True,1,4,4,1,3,1,1,1
11183,13,True,1,0,0,1,4,2,1,1
11185,14,True,0,-1,-1,0,0,0,0,0
11187,13,True,0,-1,-1,0,0,0,0,0
11189,14,True,0,-1,-1,0,0,0,0,0
11191,20,True,4,11,3,9,26,11,11,4
11193,14,True,0,-1,-1,0,0,0,0,0
11195,14,True,0,-1,-1,0,0,0,0,0
11197,13,True,2,2,2,1,4,1,1,2
11199,12,True,3,1,0,2,8,3,2,3
11201,14,True,0,-1,-1,0,0,0,0,0
11203,12,True,0,-1,-1,0,0,0,0,0
11205,8,True,1,4,4,1,3,1,1,1
11207,14,True,1,0,0,1,3,1,1,1
11209,12,True,0,-1,-1,0,0,0,0,0
11211,14,True,0,-1,-1,0,0,0,0,0
11213,19,True,4,10,10,1,7,2,1,4
11215,12,True,0,-1,-1,0,0,0,0,0
11217,19,True,4,10,10,1,7,2,1,4
11219,21,True,3,4,1,4,15,6,6,3
11221,14,True,2,5,3,3,11,5,4,2
11223,26,True,3,1,1,1,7,3,1,3
11225,7,True,1,3,3,1,3,1,1,1
11227,13,True,0,-1,-1,0,0,0,0,0
11229,23,True,4,14,6,9,26,11,11,4
11231,12,True,1,0,0,1,5,2,2,1
